Frecuencia_kHz,H0_kA_m,Amplitud_mV
135,20,1.3911428181818182
135,24,1.7082999090909092
135,27,1.951288863636364
135,31,2.2708322727272723
135,35,2.6685171818181814
135,38,2.795394681818182
135,42,3.042716681818182
135,46,3.2104289999999995
135,50,3.7439374545454545
135,53,3.798782727272727
135,57,4.02988759090909
212,20,2.2767455909090906
212,24,3.1179176818181813
212,27,3.4239460454545454
212,31,3.623724772727272
212,35,4.181899190476192
212,38,4.584324363636362
212,42,5.096576409090909
212,46,5.459286
212,50,6.094387090909091
212,53,6.277662590909091
212,57,6.8654495909090905
239,20,2.529356681818182
239,24,2.886799045454546
239,27,3.556808181818182
239,31,4.055270318181818
239,35,4.6039508181818185
239,38,4.917562181818181
239,42,5.444121772727272
239,46,6.095188045454546
239,50,6.483257636363637
239,53,6.8506339090909085
239,57,7.184306727272728
270,20,3.0515754545454543
270,24,4.676130590909091
270,27,4.132377363636363
270,31,4.852015909090908
270,35,5.181279863636364
270,38,6.208661409090908
270,42,6.249812545454546
270,46,7.631333818181818
270,50,8.144148772727274
270,53,7.617962818181815
270,57,9.80792790909091
300,20,3.400937863636363
300,24,4.069087681818183
300,27,4.6485045000000005
300,31,5.300714181818181
300,35,5.970327727272727
300,38,6.576010826086956
300,42,7.333149545454546
300,46,8.007751954545455
300,50,8.758615818181818
300,53,9.223089863636362
300,57,10.03444181818182
