Frecuencia_kHz,H0_kA_m,Pendiente,Pendiente_err,Pendiente_ufloat
135,20,8.23954968181818,0.06520914701829277,8.24+/-0.07
135,24,8.524147727272727,0.08073046712711371,8.52+/-0.08
135,27,8.419178727272728,0.08104320981381237,8.42+/-0.08
135,31,8.615198,0.08399832747902035,8.62+/-0.08
135,35,9.030563727272726,0.09838817593278247,9.03+/-0.10
135,38,8.541531818181818,0.07162128095477831,8.54+/-0.07
135,42,8.468030954545455,0.06390325663167953,8.47+/-0.06
135,46,8.209824818181819,0.08953418879077137,8.21+/-0.09
135,50,8.841971454545455,0.06671806830831803,8.84+/-0.07
135,53,8.347498772727272,0.0583928641864989,8.35+/-0.06
135,57,8.264273454545455,0.0626813225144224,8.26+/-0.06
212,20,8.519442409090908,0.07652379072945469,8.52+/-0.08
212,24,9.848220863636362,0.09286882242432816,9.85+/-0.09
212,27,9.346408181818182,0.08949429712437058,9.35+/-0.09
212,31,8.705260954545453,0.08237555490251892,8.71+/-0.08
212,35,8.971598666666667,0.06706329816661355,8.97+/-0.07
212,38,8.887995045454545,0.06379666765839834,8.89+/-0.06
212,42,9.00931568181818,0.07516239576252476,9.01+/-0.08
212,46,8.865631409090907,0.08127604664221297,8.87+/-0.08
212,50,9.132945500000002,0.14014483875676295,9.13+/-0.14
212,53,8.758565272727271,0.09893798133595963,8.76+/-0.10
212,57,8.970484090909089,0.0751323275330747,8.97+/-0.08
239,20,8.431696590909091,0.057600612318919504,8.43+/-0.06
239,24,8.109842863636365,0.056750455788554456,8.11+/-0.06
239,27,8.627953363636363,0.057739419686085716,8.63+/-0.06
239,31,8.660616272727273,0.06161117215185589,8.66+/-0.06
239,35,8.782455272727272,0.07587528254923082,8.78+/-0.08
239,38,8.47771290909091,0.048018216264918194,8.48+/-0.05
239,42,8.555067636363635,0.053789392502396415,8.56+/-0.05
239,46,8.802787727272728,0.07293958682933939,8.80+/-0.07
239,50,8.660588045454546,0.0731471646150772,8.66+/-0.07
239,53,8.513791409090908,0.06551604843898884,8.51+/-0.07
239,57,8.348229272727272,0.050362946768416406,8.35+/-0.05
270,20,9.022472818181818,0.08231166434497393,9.02+/-0.08
270,24,11.646575909090908,0.055652731915226746,11.65+/-0.06
270,27,8.89518209090909,0.04478107828486669,8.90+/-0.04
270,31,9.193753363636365,0.051006586311382204,9.19+/-0.05
270,35,8.769110227272726,0.08398532321506691,8.77+/-0.08
270,38,9.49131759090909,0.08146897026568348,9.49+/-0.08
270,42,8.687643727272725,0.06280024608028065,8.69+/-0.06
270,46,9.750460227272725,0.05139171392525856,9.75+/-0.05
270,50,9.626966,0.0716579518977609,9.63+/-0.07
270,53,8.376265545454546,0.08058344051621129,8.38+/-0.08
270,57,10.083241681818182,0.07420719693067412,10.08+/-0.07
300,20,8.716060954545455,0.053712160002501334,8.72+/-0.05
300,24,8.790484954545455,0.07602804465068796,8.79+/-0.08
300,27,8.680670181818183,0.05967899035646414,8.68+/-0.06
300,31,8.710736409090908,0.050811389075552736,8.71+/-0.05
300,35,8.762075454545455,0.0641991920168125,8.76+/-0.06
300,38,8.71738356521739,0.06517154706240001,8.72+/-0.07
300,42,8.865506136363637,0.043775731912572335,8.87+/-0.04
300,46,8.895793727272727,0.046662660233932646,8.90+/-0.05
300,50,9.001451545454545,0.05258972196483681,9.00+/-0.05
300,53,8.817954227272727,0.08238881429204054,8.82+/-0.08
300,57,8.971072318181816,0.06548375791153821,8.97+/-0.07
